State,x,y
Andhra Pradesh,-71.0,-210.0
Arunachal Pradesh,273.0,125.0
Assam,241.0,72.0
Bihar,83.0,57.0
Chhattisgarh,-7.0,-43.0
Goa,-189.0,-193.0
Gujarat,-240.0,-11.0
Haryana,-136.0,146.0
Himachal Pradesh,-118.0,223.0
Jammu Kashmir,-134.0,288.0
Jharkhand,67.0,6.0
Karnataka,-155.0,-225.0
Kerala,-133.0,-318.0
Madhya Pradesh,-91.0,-9.0
Maharashtra,-153.0,-100.0
Manipur,266.0,32.0
Meghalaya,207.0,51.0
Mizoram,241.0,-2.0
Nagaland,283.0,67.0
Odisha,45.0,-71.0
Punjab,-155.0,191.0
Rajasthan,-192.0,82.0
Sikkim,142.0,106.0
Tamil Nadu,-87.0,-306.0
Telangana,-75.0,-141.0
Tripura,213.0,6.0
Uttarakhand,-68.0,176.0
Uttar Pradesh,-34.0,86.0
West Bengal,126.0,-13.0
